#{"t_start": 1561044984.770769, "env_id": "threes-v0"}
r,l,t
468.0,81,34.598204
219.0,49,34.633745
69.0,28,34.659903
81.0,29,34.682106
906.0,112,34.764078
891.0,92,34.834539
468.0,69,34.887724
408.0,58,34.933788
153.0,37,34.961511
609.0,88,35.027491
378.0,61,35.078239
465.0,71,35.13224
369.0,77,35.190623
423.0,63,35.238467
177.0,45,35.272343
468.0,71,35.328596
282.0,48,35.36544
747.0,179,35.491555
93.0,29,35.515066
1209.0,137,35.616184
411.0,62,35.665475
507.0,127,35.754175
474.0,68,35.810591
153.0,36,35.838096
105.0,33,35.862451
192.0,134,35.952038
240.0,114,36.032124
180.0,47,36.067307
141.0,30,36.090357
261.0,65,36.137066
1131.0,104,36.222527
237.0,53,36.262745
213.0,56,36.302708
567.0,86,36.364459
363.0,191,36.485416
243.0,47,36.529104
198.0,42,36.560904
108.0,40,36.589917
567.0,84,36.653479
399.0,59,36.698264
324.0,57,36.740218
414.0,97,36.808763
204.0,48,36.841953
300.0,46,36.879143
75.0,26,36.900415
255.0,62,36.945421
414.0,57,36.988623
150.0,36,37.016795
528.0,92,37.084143
579.0,145,37.18549
327.0,50,37.220977
78.0,22,37.236656
321.0,51,37.28128
204.0,61,37.325602
318.0,48,37.362328
399.0,74,37.418117
441.0,71,37.469949
1299.0,166,37.592384
114.0,37,37.62351
114.0,31,37.647484
84.0,26,37.667069
384.0,77,37.723703
159.0,35,37.750755
117.0,29,37.772723
234.0,88,37.834276
213.0,42,37.866569
276.0,59,37.909427
207.0,38,37.939361
477.0,85,38.006656
207.0,47,38.041878
165.0,37,38.070834
78.0,28,38.090824
204.0,46,38.127098
72.0,23,38.143811
624.0,86,38.208481
216.0,51,38.24956
360.0,51,38.28779
342.0,48,38.322274
138.0,32,38.346103
183.0,45,38.385152
225.0,56,38.426373
1155.0,317,38.631986
396.0,57,38.675714
300.0,57,38.71654
297.0,52,38.760483
201.0,117,38.835733
327.0,66,38.880789
474.0,78,38.937245
69.0,20,38.95202
126.0,34,38.978656
84.0,33,39.002448
162.0,33,39.029217
153.0,36,39.055967
333.0,59,39.104784
189.0,57,39.145626
93.0,28,39.167626
39.0,39,39.194812
48.0,18,39.207507
141.0,36,39.234401
522.0,90,39.301535
360.0,48,39.339159
384.0,55,39.382509
60.0,54,39.419544
162.0,38,39.446002
327.0,54,39.491633
138.0,33,39.51864
285.0,43,39.551131
132.0,34,39.577247
84.0,27,39.597983
423.0,70,39.648023
150.0,32,39.671564
234.0,64,39.719311
195.0,54,39.761198
144.0,34,39.785359
708.0,92,39.858868
936.0,100,39.932306
570.0,71,39.986632
393.0,60,40.031949
294.0,57,40.07489
438.0,69,40.127505
384.0,74,40.180586
1122.0,106,40.265349
426.0,63,40.312735
300.0,49,40.34979
84.0,22,40.365662
144.0,41,40.395018
849.0,76,40.453778
873.0,85,40.52
396.0,56,40.564742
363.0,85,40.633923
183.0,39,40.663044
120.0,28,40.685526
951.0,90,40.755837
102.0,30,40.778451
120.0,39,40.805602
180.0,42,40.836021
63.0,23,40.854206
453.0,85,40.915131
66.0,34,40.938384
339.0,64,40.987448
60.0,21,41.005082
129.0,28,41.025986
246.0,59,41.069488
489.0,85,41.133141
237.0,57,41.174846
285.0,58,41.219104
183.0,39,41.249784
354.0,52,41.288583
198.0,40,41.317481
225.0,42,41.349311
468.0,71,41.408502
288.0,60,41.453803
327.0,44,41.487636
300.0,59,41.53229
231.0,52,41.572694
912.0,113,41.654422
405.0,55,41.69518
